FileID,InstanceID,TotalUtility
1,c1,235
1,c2,204
1,c3,193
1,c4,195
1,c5,189
2,c1,262
2,c2,255
2,c3,218
2,c4,202
2,c5,242
3,c1,382
3,c2,281
3,c3,379
3,c4,399
3,c5,317
4,c1,301
4,c2,365
4,c3,321
4,c4,326
4,c5,351
5,c1,312
5,c2,382
5,c3,333
5,c4,366
5,c5,336
6,c1,411
6,c2,405
6,c3,491
6,c4,522
6,c5,473
7,c1,589
7,c2,557
7,c3,581
7,c4,609
7,c5,617
8,c1,601
8,c2,634
8,c3,647
8,c4,688
8,c5,621
9,c1,397
9,c2,492
9,c3,450
9,c4,380
9,c5,426
10,c1,516
10,c2,577
10,c3,589
10,c4,565
10,c5,553
11,c1,522
11,c2,593
11,c3,547
11,c4,507
11,c5,629
12,c1,813
12,c2,834
12,c3,835
12,c4,832
12,c5,847
